date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2000-01-04,sz.000610,6.5127348000,6.6417750000,6.3381510000,6.5810502000,6.4747818000,294218,2517214.5000,2,0.722897,1,1.641270,0
2000-01-05,sz.000610,6.5810502000,6.8163588000,6.4671912000,6.7328622000,6.5810502000,455120,4038105.6400,2,1.118235,1,2.306803,0
2000-01-06,sz.000610,6.7556340000,7.4084256000,6.6265938000,7.4084256000,6.7328622000,1157140,10945643.7300,2,2.843105,1,10.033830,0
2000-01-07,sz.000610,7.9777206000,8.0080830000,7.5754188000,7.7424120000,7.4084256000,3005265,30793985.4400,2,7.383967,1,4.508193,0
2000-01-10,sz.000610,7.8790428000,7.8790428000,7.4995128000,7.8183180000,7.7424120000,1562214,15833947.6100,2,3.838376,1,0.980396,0
2000-01-11,sz.000610,7.8183180000,8.2358010000,7.6285530000,7.8334992000,7.8183180000,2377960,24886916.7600,2,5.842672,1,0.194170,0
2000-01-12,sz.000610,7.8183180000,8.1978480000,7.5906000000,7.6361436000,7.8334992000,1537132,15808146.2100,2,3.776749,1,-2.519373,0
2000-01-13,sz.000610,7.9549488000,7.9549488000,7.3325196000,7.3704726000,7.6361436000,1066018,10760838.0300,2,2.619217,1,-3.479129,0
2000-01-14,sz.000610,7.3628820000,7.3932444000,6.8998554000,6.9529896000,7.3704726000,1344000,12445518.7000,2,3.302222,1,-5.664266,0
2000-01-17,sz.000610,6.8315400000,7.1503452000,6.7556340000,7.1275734000,6.9529896000,559354,5145055.1300,2,1.374339,1,2.510922,0
2000-01-18,sz.000610,7.1503452000,7.2186606000,7.0592580000,7.2110700000,7.1275734000,462939,4354769.0900,2,1.137446,1,1.171455,0
2000-01-19,sz.000610,7.2490230000,7.2490230000,7.0744392000,7.1958888000,7.2110700000,314714,2962450.0900,2,0.773256,1,-0.210531,0
2000-01-20,sz.000610,7.2490230000,7.3628820000,7.1123922000,7.2793854000,7.1958888000,740915,7038186.0000,2,1.820436,1,1.160344,0
2000-01-21,sz.000610,7.2110700000,7.3021572000,7.1199828000,7.1503452000,7.2793854000,1203113,11368669.8900,2,2.956061,1,-1.772681,0
2000-01-24,sz.000610,7.3477008000,7.5146940000,7.0213050000,7.4539692000,7.1503452000,1007719,9571014.4600,2,2.475976,1,4.246280,0
2000-01-25,sz.000610,7.4387880000,7.4691504000,7.1579358000,7.2338418000,7.4539692000,694843,6628496.1700,2,1.707236,1,-2.953156,0
2000-01-26,sz.000610,7.1958888000,7.2262512000,7.0288956000,7.1655264000,7.2338418000,653762,6118745.0200,2,1.606300,1,-0.944388,0
2000-01-27,sz.000610,7.1351640000,7.2110700000,6.9681708000,7.0592580000,7.1655264000,1098220,10265136.6000,2,2.698338,1,-1.483045,0
2000-01-28,sz.000610,7.0061238000,7.2490230000,6.9833520000,7.2110700000,7.0592580000,852106,7942422.8800,2,2.093633,1,2.150536,0
2000-02-14,sz.000610,7.3704726000,7.9321770000,7.3704726000,7.9321770000,7.2110700000,1356658,13939273.4500,2,3.333323,1,9.999998,0
2000-02-15,sz.000610,8.0688078000,8.7140088000,7.5981906000,7.9549488000,7.9321770000,2674542,28799814.1600,2,6.571377,1,0.287079,0
2000-02-16,sz.000610,7.9321770000,8.6532840000,7.8183180000,8.6229216000,7.9549488000,4266819,47381616.5400,2,10.483618,1,8.396948,0
2000-02-17,sz.000610,8.8050960000,9.1087200000,7.8259086000,7.9018146000,8.6229216000,2656909,29239231.8500,2,6.528053,1,-8.362675,0
2000-02-18,sz.000610,7.8942240000,8.3344788000,7.7500026000,8.2585728000,7.9018146000,1328990,14115725.3700,2,3.265342,1,4.514892,0
2000-02-21,sz.000610,8.2509822000,8.8050960000,7.9929018000,8.7671430000,8.2585728000,3076376,34410039.6000,2,7.558688,1,6.158089,0
2000-02-22,sz.000610,9.0328140000,9.5641560000,8.5090626000,8.5697874000,8.7671430000,6804183,82212289.7000,2,16.717948,1,-2.251084,0
2000-02-23,sz.000610,8.3876130000,8.5773780000,8.0839890000,8.1598950000,8.5697874000,1932603,21042304.3100,2,4.748425,1,-4.782993,0
2000-02-24,sz.000610,8.1219420000,8.4179754000,8.0460360000,8.3496600000,8.1598950000,916005,9975886.5600,2,2.250634,1,2.325581,0
2000-02-25,sz.000610,8.3496600000,8.4255660000,8.0460360000,8.1143514000,8.3496600000,1480000,16001818.9900,2,3.636375,1,-2.818186,0
2000-02-28,sz.000610,8.1371232000,8.5773780000,8.1219420000,8.5318344000,8.1143514000,1403208,15481882.7000,2,3.447697,1,5.144997,0
2000-02-29,sz.000610,8.5773780000,8.5773780000,8.2585728000,8.3800224000,8.5318344000,1392046,15303071.0800,2,3.420271,1,-1.779358,0
