date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-12-09,sz.300144,4.2263680000,4.3657060700,4.0018422000,4.2587261300,3.4999610000,28027414,1782854647.3400,2,83.414923,1,21.679240,0
2010-12-10,sz.300144,4.2587261300,4.3260838700,4.1273125000,4.2626883500,4.2587261300,12758467,819276262.6100,2,37.971628,1,0.093000,0
2010-12-13,sz.300144,4.2798579700,4.3894793900,4.1788213600,4.3524986700,4.2626883500,10822177,703236522.9300,2,32.208860,1,2.106900,0
2010-12-14,sz.300144,4.2858013000,4.3452346000,4.1471236000,4.1530669300,4.3524986700,8996278,574343966.4000,2,26.774637,1,-4.582000,0
2010-12-15,sz.300144,4.2072172700,4.3241027600,4.1477839700,4.1477839700,4.1530669300,6469856,414231345.7400,2,19.255524,1,-0.127200,0
2010-12-16,sz.300144,4.0883506700,4.2593865000,4.0876903000,4.1946702400,4.1477839700,4670137,295137645.6600,2,13.899217,1,1.130400,0
2010-12-17,sz.300144,4.1603310000,4.3254235000,4.1391991600,4.3042916600,4.1946702400,4709387,302318944.0900,2,14.016033,1,2.613400,0
2010-12-20,sz.300144,4.3042916600,4.3234423900,4.1378784200,4.1880665400,4.3042916600,5210676,333686531.7000,2,15.507964,1,-2.700200,0
2010-12-21,sz.300144,4.2329717000,4.2448583600,4.1603310000,4.1913683900,4.1880665400,2682010,170367907.4100,2,7.982173,1,0.078800,0
2010-12-22,sz.300144,4.1609913700,4.1887269100,4.0203325600,4.0592943900,4.1913683900,4706868,290794188.5900,2,14.008536,1,-3.151100,0
2010-12-23,sz.300144,4.0942940000,4.1438217500,3.9556163000,3.9655218500,4.0592943900,2794005,171926376.2800,2,8.315491,1,-2.310100,0
2010-12-24,sz.300144,3.8961830000,3.9615596300,3.7680712200,3.7971275000,3.9655218500,2919591,169545007.9600,2,8.689259,1,-4.246500,0
2010-12-27,sz.300144,3.8037312000,3.8499571000,3.7046757000,3.7442979000,3.7971275000,1999196,114675878.8600,2,5.949988,1,-1.391300,0
2010-12-28,sz.300144,3.6914683000,3.7707127000,3.6353368500,3.6551479500,3.7442979000,1985477,111557997.1800,2,5.909158,1,-2.381000,0
2010-12-29,sz.300144,3.6577894300,3.7575053000,3.6577894300,3.7251471700,3.6551479500,1652622,92747449.5300,2,4.918518,1,1.915100,0
2010-12-30,sz.300144,3.7251471700,3.7304301300,3.6782609000,3.6881664500,3.7251471700,1345030,75318384.3700,2,4.003065,1,-0.992700,0
2010-12-31,sz.300144,3.6914683000,3.7475997500,3.6320350000,3.7172227300,3.6881664500,1623758,91023437.7500,2,4.832613,1,0.787800,0
