date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2016-06-06,sh.601611,4.0420598400,4.8582450000,4.0420598400,4.8582450000,3.3716220300,415165,2068042.0000,2,0.079079,1,44.092200,0
2016-06-07,sh.601611,5.3440695000,5.3440695000,5.3440695000,5.3440695000,4.8582450000,197403,1085717.0000,2,0.037601,1,10.000000,0
2016-06-08,sh.601611,5.8784764500,5.8784764500,5.8784764500,5.8784764500,5.3440695000,174008,1052748.0000,2,0.033144,1,10.000000,0
2016-06-13,sh.601611,6.4711823400,6.4711823400,6.4711823400,6.4711823400,5.8784764500,645876,4301534.0000,2,0.123024,1,10.082600,0
2016-06-14,sh.601611,7.1221871700,7.1221871700,7.1221871700,7.1221871700,6.4711823400,1142603,8375280.0000,2,0.217639,1,10.060100,0
2016-06-15,sh.601611,7.8314909400,7.8314909400,7.8314909400,7.8314909400,7.1221871700,1545995,12460720.0000,2,0.294475,1,9.959100,0
2016-06-16,sh.601611,8.6185266300,8.6185266300,8.6185266300,8.6185266300,7.8314909400,730371,6478391.0000,2,0.139118,1,10.049600,0
2016-06-17,sh.601611,9.4832942400,9.4832942400,9.4832942400,9.4832942400,8.6185266300,1126505,10994689.0000,2,0.214572,1,10.033800,0
2016-06-20,sh.601611,10.4355102600,10.4355102600,10.4355102600,10.4355102600,9.4832942400,1847396,19841033.0000,2,0.351885,1,10.041000,0
2016-06-21,sh.601611,11.4751746900,11.4751746900,11.4751746900,11.4751746900,10.4355102600,1558493,18405802.0000,2,0.296856,1,9.962800,0
2016-06-22,sh.601611,12.6217205100,12.6217205100,12.6217205100,12.6217205100,11.4751746900,5403334,70189309.0000,2,1.029206,1,9.991500,0
2016-06-23,sh.601611,13.8848642100,13.8848642100,13.8848642100,13.8848642100,12.6217205100,7582990,108360927.0000,2,1.444379,1,10.007700,0
2016-06-24,sh.601611,15.2743222800,15.2743222800,15.2743222800,15.2743222800,13.8848642100,7369535,115849090.0000,2,1.403721,1,10.007000,0
2016-06-27,sh.601611,16.7998112100,16.7998112100,16.7998112100,16.7998112100,15.2743222800,4700291,81268031.0000,2,0.895294,1,9.987300,0
2016-06-28,sh.601611,18.4807639800,18.4807639800,18.4807639800,18.4807639800,16.7998112100,4518950,85950429.0000,2,0.860752,1,10.005800,0
2016-06-29,sh.601611,20.3268970800,20.3268970800,20.3268970800,20.3268970800,18.4807639800,2726713,57042836.0000,2,0.519374,1,9.989500,0
2016-06-30,sh.601611,20.3268970800,20.3268970800,20.3268970800,20.3268970800,20.3268970800,0,0.0000,2,,0,0.000000,0
2016-07-01,sh.601611,22.3576434900,22.3576434900,21.9689838900,22.3576434900,20.3268970800,160090418,3683038176.0000,2,30.493413,1,9.990400,0
2016-07-04,sh.601611,22.9309164000,23.0086483200,20.6086752900,20.9196029700,22.3576434900,291701264,6482163456.0000,2,55.562146,1,-6.432000,0
2016-07-05,sh.601611,20.9487524400,23.0086483200,20.2588816500,23.0086483200,20.9196029700,290931904,6647423744.0000,2,55.415601,1,9.986100,0
2016-07-06,sh.601611,22.8337515000,22.8337515000,21.6580562100,22.4256589200,23.0086483200,200293513,4577919488.0000,2,38.151145,1,-2.533800,0
2016-07-07,sh.601611,22.0078498500,22.6297052100,21.3665615100,21.9787003800,22.4256589200,128638550,2906008464.0000,2,24.502581,1,-1.993100,0
2016-07-08,sh.601611,21.9592674000,21.9592674000,21.1139327700,21.4248604500,21.9787003800,81378939,1797871712.0000,2,15.500750,1,-2.519900,0
2016-07-11,sh.601611,21.5900407800,21.7260716400,20.4143454900,20.6475412500,21.4248604500,98847284,2117462976.0000,2,18.828054,1,-3.628100,0
2016-07-12,sh.601611,20.4046290000,20.5309433700,19.2483666900,20.2005827100,20.6475412500,102750190,2097758384.0000,2,19.571465,1,-2.164700,0
2016-07-13,sh.601611,20.0159694000,21.7649376000,19.8896550300,20.9584689300,20.2005827100,121990919,2650828720.0000,2,23.236366,1,3.751800,0
2016-07-14,sh.601611,20.5698093300,20.7349896600,20.2200156900,20.5406598600,20.9584689300,56993410,1200595456.0000,2,10.855888,1,-1.993500,0
2016-07-15,sh.601611,20.7447061500,21.3276955500,20.5892423100,20.6086752900,20.5406598600,58576566,1259154128.0000,2,11.157441,1,0.331100,0
2016-07-18,sh.601611,20.3074641000,20.5892423100,19.8799385400,20.0354023800,20.6086752900,44421316,918353696.0000,2,8.461203,1,-2.781700,0
2016-07-19,sh.601611,20.0937013200,20.1811497300,19.5398613900,20.0451188700,20.0354023800,43086263,876573440.0000,2,8.206907,1,0.048500,0
2016-07-20,sh.601611,20.0645518500,20.0742683400,19.8410725800,19.8993715200,20.0451188700,27627322,566926064.0000,2,5.262347,1,-0.727100,0
2016-07-21,sh.601611,19.8993715200,20.3754795300,19.8216396000,19.8896550300,19.8993715200,42779945,883773728.0000,2,8.148561,1,-0.048800,0
2016-07-22,sh.601611,19.8605055600,19.8605055600,19.2386502000,19.2969491400,19.8896550300,48306820,966568096.0000,2,9.201299,1,-2.980000,0
2016-07-25,sh.601611,18.9471555000,19.1317688100,18.3641661000,18.4904804700,19.2969491400,49574572,950167584.0000,2,9.442776,1,-4.179300,0
2016-07-26,sh.601611,18.4710474900,18.8499906000,18.3058671600,18.6653772900,18.4904804700,29638911,569300288.0000,2,5.645507,1,0.945900,0
2016-07-27,sh.601611,18.6653772900,18.7236762300,16.8581101500,17.0913059100,18.6653772900,59324310,1084863776.0000,2,11.299869,1,-8.433100,0
2016-07-28,sh.601611,17.0718729300,17.0718729300,16.0516414800,16.5666154500,17.0913059100,52912164,898764784.0000,2,10.078507,1,-3.069900,0
2016-07-29,sh.601611,16.5666154500,17.1787543200,16.1779558500,16.7026463100,16.5666154500,47504853,819285520.0000,2,9.048543,1,0.821100,0
2016-08-01,sh.601611,16.2848372400,16.3820021400,15.5755334700,15.7407138000,16.7026463100,34846732,567297504.0000,2,6.637473,1,-5.759200,0
2016-08-02,sh.601611,15.7018478400,15.9641930700,15.7018478400,15.8087292300,15.7407138000,19707394,320769136.0000,2,3.753789,1,0.432100,0
2016-08-03,sh.601611,15.7407138000,16.3722856500,15.7018478400,16.2848372400,15.8087292300,42547646,705521568.0000,2,8.104314,1,3.011700,0
2016-08-04,sh.601611,16.2751207500,16.2848372400,15.9641930700,16.1390898900,16.2848372400,27066496,448084752.0000,2,5.155523,1,-0.895000,0
2016-08-05,sh.601611,16.1196569100,16.1585228700,15.8378787000,15.8475951900,16.1390898900,23819178,391714976.0000,2,4.536986,1,-1.806100,0
2016-08-08,sh.601611,15.7212808200,15.8281622100,15.4395026100,15.8087292300,15.8475951900,26597200,427728288.0000,2,5.066133,1,-0.245200,0
2016-08-09,sh.601611,15.8184457200,16.4986000200,15.7504302900,16.3917186300,15.8087292300,45071150,751955040.0000,2,8.584981,1,3.687800,0
2016-08-10,sh.601611,16.2945537300,16.6832133300,16.2362547900,16.4305845900,16.3917186300,41599892,704277152.0000,2,7.923789,1,0.237100,0
2016-08-11,sh.601611,16.2556877700,16.3820021400,15.8184457200,15.8475951900,16.4305845900,32716417,541755088.0000,2,6.231698,1,-3.548200,0
2016-08-12,sh.601611,15.7990127400,16.7900947200,15.7309973100,16.4403010800,15.8475951900,46956040,787285952.0000,2,8.944008,1,3.740000,0
2016-08-15,sh.601611,16.4597340600,16.9552750500,16.3334196900,16.8192441900,16.4403010800,55864686,960030592.0000,2,10.640893,1,2.305000,0
2016-08-16,sh.601611,16.8095277000,16.9747080300,16.7220792900,16.7900947200,16.8192441900,36394986,629251056.0000,2,6.932378,1,-0.173300,0
