date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2016-09-08,sz.300543,8.4771842000,9.2501710500,8.4771842000,9.2501710500,6.4234922000,3500,112150.0000,2,0.023333,1,44.005330,0
2016-09-09,sz.300543,10.1743324500,10.1743324500,10.1743324500,10.1743324500,9.2501710500,1000,35670.0000,2,0.006667,1,9.990743,0
2016-09-12,sz.300543,11.1926214000,11.1926214000,11.1926214000,11.1926214000,10.1743324500,1500,58860.0000,2,0.010000,1,10.008420,0
2016-09-13,sz.300543,12.3107426000,12.3107426000,12.3107426000,12.3107426000,11.1926214000,1104,47648.0000,2,0.007360,1,9.989801,0
2016-09-14,sz.300543,13.5429578000,13.5429578000,13.5429578000,13.5429578000,12.3107426000,1500,71220.0000,2,0.010000,1,10.009270,0
2016-09-19,sz.300543,14.8978240500,14.8978240500,14.8978240500,14.8978240500,13.5429578000,2000,104460.0000,2,0.013333,1,10.004210,0
2016-09-20,sz.300543,16.3867507500,16.3867507500,16.3867507500,16.3867507500,14.8978240500,1500,86175.0000,2,0.010000,1,9.994259,0
2016-09-21,sz.300543,18.0268520000,18.0268520000,18.0268520000,18.0268520000,16.3867507500,8700,549840.0000,2,0.058000,1,10.008700,0
2016-09-22,sz.300543,19.8295372000,19.8295372000,19.8295372000,19.8295372000,18.0268520000,7000,486640.0000,2,0.046667,1,9.999993,0
2016-09-23,sz.300543,21.8119204500,21.8119204500,21.8119204500,21.8119204500,19.8295372000,10500,802935.0000,2,0.070000,1,9.997130,0
2016-09-26,sz.300543,23.9939682000,23.9939682000,23.9939682000,23.9939682000,21.8119204500,35863,3016795.0000,2,0.239087,1,10.003930,0
2016-09-27,sz.300543,26.3927945500,26.3927945500,26.3927945500,26.3927945500,23.9939682000,97576,9028707.0000,2,0.650507,1,9.997618,0
2016-09-28,sz.300543,29.0312183000,29.0312183000,29.0312183000,29.0312183000,26.3927945500,408204,41547003.0000,2,2.721360,1,9.996758,0
2016-09-29,sz.300543,31.3359171000,31.9177965000,29.5503460000,31.0877626500,29.0312183000,9491798,1022494176.0000,2,63.278653,1,7.083906,0
2016-09-30,sz.300543,30.2434670500,33.2755151000,30.2434670500,32.0917898500,31.0877626500,6477240,721118000.0000,2,43.181600,1,3.229658,0
2016-10-10,sz.300543,32.3456490000,35.3006836000,32.2344073500,35.3006836000,32.0917898500,4662764,551928624.0000,2,31.085093,1,9.999111,0
2016-10-11,sz.300543,36.3589054500,38.1245101000,35.6543750000,37.0691406000,35.3006836000,6170135,796029168.0000,2,41.134233,1,5.009700,0
2016-10-12,sz.300543,36.4016907000,37.2802145000,35.7399455000,36.5956505000,37.0691406000,4603320,590074992.0000,2,30.688800,1,-1.277319,0
2016-10-13,sz.300543,36.5100800000,38.4724968000,36.4530330000,36.9379325000,36.5956505000,4741219,621207744.0000,2,31.608127,1,0.935306,0
2016-10-14,sz.300543,36.2248450000,38.1073960000,35.6971602500,37.9647785000,36.9379325000,4221308,549451328.0000,2,28.142053,1,2.779927,0
2016-10-17,sz.300543,37.7850804500,38.7919600000,36.8466573000,37.2602480500,37.9647785000,3312473,436507008.0000,2,22.083153,1,-1.855748,0
2016-10-18,sz.300543,37.0263553500,38.5637720000,36.4016907000,38.5010203000,37.2602480500,4239731,554464800.0000,2,28.264873,1,3.330009,0
2016-10-19,sz.300543,38.3156175500,39.9186382500,38.2500135000,38.7748459000,38.5010203000,4723128,645039680.0000,2,31.487520,1,0.711221,0
2016-10-20,sz.300543,38.7862553000,39.2198125000,37.2374292500,37.5369260000,38.7748459000,3530754,471265824.0000,2,23.538360,1,-3.192582,0
2016-10-21,sz.300543,37.3714897000,37.9391073500,36.5956505000,37.1090735000,37.5369260000,3199010,417633856.0000,2,21.326733,1,-1.139818,0
2016-10-24,sz.300543,36.7696438500,37.3315568000,35.9909523000,36.9322278000,37.1090735000,2370032,304572224.0000,2,15.800213,1,-0.476565,0
2016-10-25,sz.300543,36.9550466000,39.1057185000,36.9379325000,37.7651140000,36.9322278000,3213353,428697008.0000,2,21.422353,1,2.255173,0
2016-10-26,sz.300543,37.6510200000,38.4953156000,36.6812210000,38.0446443000,37.7651140000,2500053,328675312.0000,2,16.667020,1,0.740190,0
2016-10-27,sz.300543,37.6795435000,40.2609202500,37.6795435000,39.9642758500,38.0446443000,3543568,483135328.0000,2,23.623787,1,5.045731,0
2016-10-28,sz.300543,39.2625977500,39.9214906000,37.8107516000,37.9020268000,39.9642758500,3494185,478219520.0000,2,23.294567,1,-5.160228,0
2016-10-31,sz.300543,37.2260198500,38.1444765500,36.7953150000,37.6196441500,37.9020268000,2061354,270350576.0000,2,13.742360,1,-0.745037,0
2016-11-01,sz.300543,37.8221610000,39.2426313000,37.8164563000,38.9345775000,37.6196441500,2495055,337529536.0000,2,16.633700,1,3.495337,0
2016-11-02,sz.300543,39.0429668000,39.8958194500,38.6978324500,38.9345775000,38.9345775000,2648957,364004496.0000,2,17.659713,1,0.000000,0
2016-11-03,sz.300543,38.5095773500,39.4822287000,37.5084025000,37.7365905000,38.9345775000,3417925,462930976.0000,2,22.786167,1,-3.076921,0
2016-11-04,sz.300543,37.2688051000,38.3641075000,37.2317245500,38.0446443000,37.7365905000,2051540,272140896.0000,2,13.676933,1,0.816328,0
2016-11-07,sz.300543,37.8934697500,38.5067250000,37.5084025000,37.6139394500,38.0446443000,1376400,183104558.0000,2,9.176000,1,-1.132111,0
2016-11-08,sz.300543,37.7936375000,37.9105838500,37.2089057500,37.5683018500,37.6139394500,1106951,145511942.0000,2,7.379673,1,-0.121323,0
2016-11-09,sz.300543,37.5683018500,39.0172956500,37.3287044500,38.3213222500,37.5683018500,2704873,362373232.0000,2,18.032487,1,2.004403,0
2016-11-10,sz.300543,38.7919600000,42.1292095000,38.2642752500,41.8896121000,38.3213222500,3823286,537909648.0000,2,25.488573,1,9.311495,0
2016-11-11,sz.300543,41.2193098500,42.0151155000,40.3978330500,41.1508534500,41.8896121000,2720635,392813824.0000,2,18.137567,1,-1.763582,0
2016-11-14,sz.300543,40.7600815000,42.8679681500,40.7001821500,42.2090753000,41.1508534500,2545944,376300176.0000,2,16.972960,1,2.571561,0
2016-11-15,sz.300543,41.7298805000,42.0721625000,40.0184705000,40.4605847500,42.2090753000,2203965,314239296.0000,2,14.693100,1,-4.142445,0
2016-11-16,sz.300543,40.6459875000,40.6745110000,39.3624300000,39.3624300000,40.4605847500,1398000,195422409.0000,2,9.320000,1,-2.714139,0
2016-11-17,sz.300543,38.8718258000,39.8131013000,38.1929665000,38.2214900000,39.3624300000,1558501,213101295.0000,2,10.390007,1,-2.898551,0
2016-11-18,sz.300543,38.7349130000,40.1896115000,38.6493425000,39.2112554500,38.2214900000,1903158,263688891.0000,2,12.687720,1,2.589553,0
2016-11-21,sz.300543,39.2283695500,40.4463230000,38.6094096000,40.3607525000,39.2112554500,2163786,301036128.0000,2,14.425240,1,2.931548,0
2016-11-22,sz.300543,41.5016925000,44.3968277500,41.5016925000,42.6426325000,40.3607525000,4611848,700776160.0000,2,30.745653,1,5.653710,0
2016-11-23,sz.300543,42.2062229500,45.3181368000,41.7926322000,44.0374316500,42.6426325000,3815420,583118352.0000,2,25.436133,1,3.270902,0
2016-11-24,sz.300543,43.4726663500,44.0374316500,42.4087398000,42.8451493500,44.0374316500,2280550,344261200.0000,2,15.203667,1,-2.707425,0
2016-11-25,sz.300543,42.5028673500,47.1293790500,41.6443100000,46.6929695000,42.8451493500,3501357,547838816.0000,2,23.342380,1,8.980753,0
2016-11-28,sz.300543,45.7830698500,47.6000168000,44.7419621000,44.7961567500,46.6929695000,2865936,461855840.0000,2,19.106240,1,-4.062305,0
2016-11-29,sz.300543,45.0671300000,46.3506875000,44.2770290500,44.4510224000,44.7961567500,2207576,351160016.0000,2,14.717173,1,-0.770459,0
2016-11-30,sz.300543,44.2114250000,46.3963251000,43.7835725000,45.3951502500,44.4510224000,2173950,345407184.0000,2,14.493000,1,2.123972,0
2016-12-01,sz.300543,45.1355864000,45.4921301500,43.8691430000,44.2114250000,45.3951502500,2177571,340764304.0000,2,14.517140,1,-2.607599,0
2016-12-02,sz.300543,44.5109217500,44.8589084500,41.6728335000,42.2147800000,44.2114250000,2066672,312059056.0000,2,13.777813,1,-4.516129,0
2016-12-05,sz.300543,41.3590750000,42.7709882500,40.6459875000,41.7840751500,42.2147800000,1729256,252577881.0000,2,11.528373,1,-1.020267,0
2016-12-06,sz.300543,41.6443100000,42.2946458000,41.1023635000,41.4503502000,41.7840751500,999100,146095448.0000,2,6.660667,1,-0.798688,0
2016-12-07,sz.300543,41.3590750000,41.6414576500,39.9329000000,41.5872630000,41.4503502000,1730124,247503134.0000,2,11.534160,1,0.330303,0
2016-12-08,sz.300543,41.3562226500,41.5815583000,39.3995105500,39.5478327500,41.5872630000,1552207,220245991.0000,2,10.348047,1,-4.903984,0
2016-12-09,sz.300543,39.0201480000,39.3053830000,37.7936375000,37.7964898500,39.5478327500,1603249,216929229.0000,2,10.688327,1,-4.428416,0
2016-12-12,sz.300543,37.8364227500,37.8364227500,34.0171261000,34.0171261000,37.7964898500,2466396,305912496.0000,2,16.442640,1,-9.999240,0
2016-12-13,sz.300543,33.0872600000,34.3422940000,32.5167900000,33.6548776500,34.0171261000,1610256,189255820.0000,2,10.735040,1,-1.064904,0
2016-12-14,sz.300543,33.4580655000,33.8231663000,32.7677968000,32.9417901500,33.6548776500,1213200,141441391.0000,2,8.088000,1,-2.118824,0
2016-12-15,sz.300543,32.9018572500,35.2265225000,32.7735015000,34.2282000000,32.9417901500,1973748,237209376.0000,2,13.158320,1,3.905102,0
2016-12-16,sz.300543,34.3137705000,34.4193074500,33.8231663000,34.3394416500,34.2282000000,1068405,127804825.0000,2,7.122700,1,0.324999,0
2016-12-19,sz.300543,34.1996765000,34.1996765000,33.0872600000,33.4580655000,34.3394416500,808499,95369816.0000,2,5.389993,1,-2.566655,0
2016-12-20,sz.300543,33.3724950000,34.1854147500,33.3724950000,33.8146092500,33.4580655000,855148,101438858.0000,2,5.700987,1,1.065644,0
2016-12-21,sz.300543,33.7461528500,34.1711530000,33.0872600000,33.9714885000,33.8146092500,1101907,130131470.0000,2,7.346047,1,0.463935,0
2016-12-22,sz.300543,33.7233340500,34.3879316000,33.4067232000,34.2139382500,33.9714885000,922508,109818834.0000,2,6.150053,1,0.713685,0
2016-12-23,sz.300543,34.2139382500,34.2139382500,32.1402798000,32.1973268000,34.2139382500,1453500,168596384.0000,2,9.690000,1,-5.894122,0
2016-12-26,sz.300543,31.8322260000,32.4882665000,30.8995075500,32.3171255000,32.1973268000,898923,99916063.0000,2,5.992820,1,0.372082,0
2016-12-27,sz.300543,32.2315550000,32.8619243500,31.9834005500,32.3342396000,32.3171255000,691499,78555860.0000,2,4.609993,1,0.052955,0
2016-12-28,sz.300543,33.6292065000,35.5688045000,33.1043741000,33.7090723000,32.3342396000,2946768,354561984.0000,2,19.645120,1,4.251941,0
2016-12-29,sz.300543,33.6577300000,33.6577300000,32.6879310000,32.7877632500,33.7090723000,1151314,133462010.0000,2,7.675427,1,-2.733122,0
2016-12-30,sz.300543,32.5595752500,33.0330653500,31.8864206500,32.0176287500,32.7877632500,972779,110694752.0000,2,6.485193,1,-2.348845,0
