date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2017-11-16,sz.300723,20.1987667200,24.2365456000,20.1987667200,24.2365456000,16.8323056000,10217,248144.3500,2,0.025542,1,43.988270,0
2017-11-17,sz.300723,26.6651363200,26.6651363200,26.6651363200,26.6651363200,24.2365456000,6500,175565.0000,2,0.016250,1,10.020370,0
2017-11-20,sz.300723,29.3306627200,29.3306627200,29.3306627200,29.3306627200,26.6651363200,5400,160434.0000,2,0.013500,1,9.996293,0
2017-11-21,sz.300723,32.2627417600,32.2627417600,32.2627417600,32.2627417600,29.3306627200,4861,158857.4800,2,0.012153,1,9.996638,0
2017-11-22,sz.300723,35.4909904000,35.4909904000,35.4909904000,35.4909904000,32.2627417600,16154,580736.3000,2,0.040385,1,10.006120,0
2017-11-23,sz.300723,39.0450256000,39.0450256000,39.0450256000,39.0450256000,35.4909904000,55343,2188815.6500,2,0.138357,1,10.013900,0
2017-11-24,sz.300723,42.9544643200,42.9544643200,42.9544643200,42.9544643200,39.0450256000,1502729,65383738.7900,2,3.756822,1,10.012640,0
2017-11-27,sz.300723,42.4509760000,42.4509760000,38.6600051200,38.6600051200,42.9544643200,12861494,512814844.1500,2,32.153735,1,-9.997699,0
2017-11-28,sz.300723,36.1326912000,38.0577936000,36.0833296000,36.8040089600,38.6600051200,12068558,450573360.9200,2,30.171395,1,-4.800820,0
2017-11-29,sz.300723,36.5275840000,36.7151580800,33.5856326400,35.5600966400,36.8040089600,10924099,386217333.1000,2,27.310248,1,-3.379824,0
2017-11-30,sz.300723,35.0171190400,38.4526864000,34.7505664000,37.5148160000,35.5600966400,13184625,490247638.2400,2,32.961562,1,5.496945,0
2017-12-01,sz.300723,36.6460518400,40.8812771200,36.5374563200,39.0351532800,37.5148160000,14380347,567177503.7500,2,35.950868,1,4.052634,0
2017-12-04,sz.300723,37.1692848000,37.2778803200,35.1355868800,35.1355868800,39.0351532800,7994086,287784867.1200,2,19.985215,1,-9.989885,0
2017-12-05,sz.300723,33.5757603200,35.3330332800,33.0920166400,34.5136307200,35.1355868800,8007462,277128289.3800,2,20.018655,1,-1.770163,0
2017-12-06,sz.300723,34.0792486400,35.1454592000,33.3486969600,34.3458012800,34.5136307200,6685583,232303839.2400,2,16.713958,1,-0.486265,0
2017-12-07,sz.300723,34.4543968000,34.7308217600,32.6082729600,32.6675068800,34.3458012800,6659691,226885455.1800,2,16.649227,1,-4.886464,0
2017-12-08,sz.300723,32.0949123200,33.8620576000,31.9073382400,33.0031657600,32.6675068800,5814247,196076003.5600,2,14.535618,1,1.027501,0
2017-12-11,sz.300723,32.8945702400,35.0368636800,32.7069961600,34.1088656000,33.0031657600,6841246,236204334.5500,2,17.103115,1,3.350281,0
2017-12-12,sz.300723,33.5066540800,33.7139728000,32.6773792000,32.7958470400,34.1088656000,4913018,164666146.7000,2,12.282545,1,-3.849488,0
2017-12-13,sz.300723,32.7366131200,34.3260566400,32.4799328000,34.0595040000,32.7958470400,5266844,179699717.8700,2,13.167110,1,3.853097,0
