date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2016-08-30,sz.300539,3.2911092000,3.9502278000,3.2911092000,3.9502278000,2.7440856000,4100,35016.0000,2,0.017263,1,43.954300,0
2016-08-31,sz.300539,4.3448022000,4.3448022000,4.3448022000,4.3448022000,3.9502278000,3000,29070.0000,2,0.012632,1,9.988600,0
2016-09-01,sz.300539,4.7797308000,4.7797308000,4.7797308000,4.7797308000,4.3448022000,4057,43247.0000,2,0.017082,1,10.010300,0
2016-09-02,sz.300539,5.2594974000,5.2594974000,5.2594974000,5.2594974000,4.7797308000,2201,25817.0000,2,0.009267,1,10.037500,0
2016-09-05,sz.300539,5.7841020000,5.7841020000,5.7841020000,5.7841020000,5.2594974000,3600,46440.0000,2,0.015158,1,9.974425,0
2016-09-06,sz.300539,6.3625122000,6.3625122000,6.3625122000,6.3625122000,5.7841020000,5616,79691.0000,2,0.023646,1,10.000000,0
2016-09-07,sz.300539,6.9992118000,6.9992118000,6.9992118000,6.9992118000,6.3625122000,1000,15610.0000,2,0.004211,1,10.007050,0
2016-09-08,sz.300539,7.6986846000,7.6986846000,7.6986846000,7.6986846000,6.9992118000,4500,77265.0000,2,0.018947,1,9.993597,0
2016-09-09,sz.300539,8.4698982000,8.4698982000,8.4698982000,8.4698982000,7.6986846000,4700,88783.0000,2,0.019789,1,10.017470,0
2016-09-12,sz.300539,9.3173364000,9.3173364000,9.3173364000,9.3173364000,8.4698982000,24253,503977.0000,2,0.102118,1,10.005300,0
2016-09-13,sz.300539,10.2499668000,10.2499668000,10.2499668000,10.2499668000,9.3173364000,13318,304449.0000,2,0.056076,1,10.009620,0
2016-09-14,sz.300539,11.2767570000,11.2767570000,11.2767570000,11.2767570000,10.2499668000,39018,981302.0000,2,0.164286,1,10.017490,0
2016-09-19,sz.300539,12.4066746000,12.4066746000,12.4066746000,12.4066746000,11.2767570000,20006,553566.0000,2,0.084236,1,10.019880,0
2016-09-20,sz.300539,13.6486872000,13.6486872000,13.6486872000,13.6486872000,12.4066746000,31700,964948.0000,2,0.133474,1,10.010840,0
2016-09-21,sz.300539,15.0117624000,15.0117624000,15.0117624000,15.0117624000,13.6486872000,97575,3266811.0000,2,0.410842,1,9.986856,0
2016-09-22,sz.300539,16.5138354000,16.5138354000,16.5138354000,16.5138354000,15.0117624000,78843,2903787.0000,2,0.331971,1,10.005980,0
2016-09-23,sz.300539,18.1638738000,18.1638738000,18.1638738000,18.1638738000,16.5138354000,61408,2487638.0000,2,0.258560,1,9.991845,0
2016-09-26,sz.300539,19.9798128000,19.9798128000,19.9798128000,19.9798128000,18.1638738000,166443,7416700.0000,2,0.700813,1,9.997540,0
2016-09-27,sz.300539,21.9795876000,21.9795876000,20.1860676000,21.2980500000,19.9798128000,17210386,805762800.0000,2,72.464783,1,6.597842,0
2016-09-28,sz.300539,20.7734454000,21.7419462000,20.4012900000,21.3159852000,21.2980500000,12165977,570540992.0000,2,51.225166,1,0.084212,0
2016-09-29,sz.300539,20.8810566000,21.3832422000,20.4775146000,21.3115014000,21.3159852000,8761950,410547312.0000,2,36.892421,1,-0.021039,0
2016-09-30,sz.300539,21.1814712000,21.2756310000,20.0739726000,20.0739726000,21.3115014000,6713811,308068032.0000,2,28.268678,1,-5.806856,0
2016-10-10,sz.300539,20.1636486000,21.2532120000,19.8677178000,21.0200544000,20.0739726000,6576327,303326624.0000,2,27.689798,1,4.712979,0
