date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2001-03-19,sh.600518,1.1076000000,1.1120304000,1.0012704000,1.0084698000,0.3480633000,10221800,385950651.0000,2,56.787778,1,189.737500,0
2001-03-20,sh.600518,0.9973938000,1.0087467000,0.9827181000,1.0034856000,1.0084698000,1648378,59204174.0000,2,9.157656,1,-0.494224,0
2001-03-21,sh.600518,1.0023780000,1.0203765000,0.9940710000,1.0101312000,1.0034856000,732292,26623907.0000,2,4.068289,1,0.662246,0
2001-03-22,sh.600518,1.0101312000,1.0134540000,0.9982245000,1.0026549000,1.0101312000,515439,18692512.0000,2,2.863550,1,-0.740133,0
2001-03-23,sh.600518,1.0037625000,1.0093005000,0.9982245000,1.0029318000,1.0026549000,431845,15639863.0000,2,2.399139,1,0.027623,0
2001-03-26,sh.600518,0.9968400000,1.0023780000,0.9901944000,0.9996090000,1.0029318000,581550,20895453.0000,2,3.230833,1,-0.331316,0
2001-03-27,sh.600518,0.9968400000,1.0383750000,0.9968400000,1.0259145000,0.9996090000,848274,31134405.0000,2,4.712633,1,2.631581,0
2001-03-28,sh.600518,1.0245300000,1.0322832000,1.0189920000,1.0245300000,1.0259145000,779891,28890767.0000,2,4.332728,1,-0.134951,0
2001-03-29,sh.600518,1.0245300000,1.0275759000,1.0203765000,1.0245300000,1.0245300000,476571,17623403.0000,2,2.647617,1,0.000000,0
2001-03-30,sh.600518,1.0242531000,1.0394826000,1.0217610000,1.0375443000,1.0245300000,574383,21486436.0000,2,3.191017,1,1.270274,0
2001-04-02,sh.600518,1.0411440000,1.0577580000,1.0383750000,1.0508355000,1.0375443000,802133,30422753.0000,2,4.456294,1,1.281024,0
2001-04-03,sh.600518,1.0522200000,1.0538814000,1.0314525000,1.0394826000,1.0508355000,417085,15687686.0000,2,2.317139,1,-1.080369,0
2001-04-04,sh.600518,1.0383750000,1.0466820000,1.0164999000,1.0217610000,1.0394826000,375440,14025260.0000,2,2.085778,1,-1.704847,0
2001-04-05,sh.600518,1.0167768000,1.0383750000,1.0162230000,1.0378212000,1.0217610000,238595,8837481.0000,2,1.325528,1,1.571810,0
2001-04-06,sh.600518,1.0383750000,1.0425285000,1.0325601000,1.0350522000,1.0378212000,279165,10452250.0000,2,1.550917,1,-0.266805,0
2001-04-09,sh.600518,1.0248069000,1.0339446000,1.0212072000,1.0270221000,1.0350522000,280360,10378870.0000,2,1.557556,1,-0.775818,0
2001-04-10,sh.600518,1.0272990000,1.0400364000,1.0248069000,1.0364367000,1.0270221000,188415,7026582.0000,2,1.046750,1,0.916690,0
2001-04-11,sh.600518,1.0369905000,1.0405902000,1.0295142000,1.0342215000,1.0364367000,177750,6636462.0000,2,0.987500,1,-0.213737,0
2001-04-12,sh.600518,1.0328370000,1.0605270000,1.0303449000,1.0466820000,1.0342215000,616435,23358869.0000,2,3.424639,1,1.204821,0
2001-04-13,sh.600518,1.0494510000,1.0599732000,1.0411440000,1.0555428000,1.0466820000,517081,19684310.0000,2,2.872672,1,0.846560,0
2001-04-16,sh.600518,1.0552659000,1.0743720000,1.0552659000,1.0707723000,1.0555428000,890267,34384480.0000,2,4.945928,1,1.442810,0
2001-04-17,sh.600518,1.0765872000,1.0901553000,1.0632960000,1.0840635000,1.0707723000,725819,28243157.0000,2,4.032328,1,1.241281,0
2001-04-18,sh.600518,1.0793562000,1.1020620000,1.0771410000,1.0962471000,1.0840635000,697802,27501925.0000,2,3.876678,1,1.123879,0
2001-04-19,sh.600518,1.0965240000,1.1131380000,1.0915398000,1.0970778000,1.0962471000,728464,28978818.0000,2,4.047022,1,0.075774,0
2001-04-20,sh.600518,1.1020620000,1.1076000000,1.0635729000,1.0688340000,1.0970778000,542298,21274357.0000,2,3.012767,1,-2.574459,0
2001-04-23,sh.600518,1.0660650000,1.0738182000,1.0527738000,1.0663419000,1.0688340000,455638,17467173.0000,2,2.531322,1,-0.233161,0
2001-04-24,sh.600518,1.0660650000,1.0810176000,1.0655112000,1.0721568000,1.0663419000,235974,9156075.0000,2,1.310967,1,0.545320,0
2001-04-25,sh.600518,1.0743720000,1.0743720000,1.0414209000,1.0441899000,1.0721568000,347800,13219274.0000,2,1.932222,1,-2.608477,0
2001-04-26,sh.600518,1.0356060000,1.0480665000,1.0248069000,1.0328370000,1.0441899000,422521,15788888.0000,2,2.347339,1,-1.087244,0
2001-04-27,sh.600518,1.0306218000,1.0466820000,1.0300680000,1.0389288000,1.0328370000,165137,6192971.0000,2,0.917428,1,0.589816,0
2001-04-30,sh.600518,1.0331139000,1.0497279000,1.0331139000,1.0439130000,1.0389288000,166385,6272986.0000,2,0.924361,1,0.479745,0
2001-05-08,sh.600518,1.0439130000,1.0547121000,1.0386519000,1.0547121000,1.0439130000,124782,4713137.0000,2,0.693233,1,1.034481,0
2001-05-09,sh.600518,1.0560966000,1.0560966000,1.0386519000,1.0466820000,1.0547121000,79070,2987124.0000,2,0.439278,1,-0.761357,0
2001-05-10,sh.600518,1.0439130000,1.0480665000,1.0331139000,1.0397595000,1.0466820000,103050,3869196.0000,2,0.572500,1,-0.661376,0
2001-05-11,sh.600518,1.0414209000,1.0466820000,1.0339446000,1.0433592000,1.0397595000,85591,3213448.0000,2,0.475506,1,0.346208,0
2001-05-14,sh.600518,1.0433592000,1.0627422000,1.0433592000,1.0599732000,1.0433592000,189873,7253899.0000,2,1.054850,1,1.592353,0
2001-05-15,sh.600518,1.0599732000,1.0599732000,1.0599732000,1.0599732000,1.0599732000,0,0.0000,2,,0,0.000000,0
2001-05-16,sh.600518,1.0793562000,1.0799100000,1.0516662000,1.0522200000,1.0599732000,230650,8808281.0000,2,1.281389,1,-0.731449,0
2001-05-17,sh.600518,1.0536045000,1.1197836000,1.0536045000,1.1095383000,1.0522200000,1614322,64080527.0000,2,8.968456,1,5.447368,0
2001-05-18,sh.600518,1.1095383000,1.1519040000,1.0887708000,1.1214450000,1.1095383000,1432962,58282303.0000,2,7.960900,1,1.073123,0
2001-05-21,sh.600518,1.1269830000,1.1491350000,1.1217219000,1.1250447000,1.1214450000,628476,25707398.0000,2,3.491533,1,0.320990,0
