date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-07-16,sz.002450,1.2952083300,1.5568390500,1.2277566600,1.3660666500,0.9674886000,28287022,546427059.3600,2,87.521726,1,41.197180,0
2010-07-19,sz.002450,1.2338886300,1.2904390200,1.2298006500,1.2590978400,1.3660666500,17892248,329467519.3000,2,55.359678,1,-7.830400,0
2010-07-20,sz.002450,1.2863510400,1.3142855700,1.2625044900,1.2883950300,1.2590978400,14820201,279322281.6700,2,45.854582,1,2.326800,0
2010-07-21,sz.002450,1.2809004000,1.3381321200,1.2625044900,1.2979336500,1.2883950300,12798506,243668426.5300,2,39.599338,1,0.740300,0
2010-07-22,sz.002450,1.2829443900,1.3210988700,1.2672738000,1.3081536000,1.2979336500,8823312,168042638.5900,2,27.299851,1,0.787400,0
2010-07-23,sz.002450,1.3054282800,1.3858252200,1.2979336500,1.3435827600,1.3081536000,10800635,213268980.7100,2,33.417806,1,2.708300,0
2010-07-26,sz.002450,1.3524400500,1.4076277800,1.3524400500,1.3899132000,1.3435827600,9761212,198226387.6600,2,30.201770,1,3.448300,0
2010-07-27,sz.002450,1.3974078300,1.4021771400,1.3524400500,1.3592533500,1.3899132000,6316246,126763259.8400,2,19.542840,1,-2.205900,0
2010-07-28,sz.002450,1.3647039900,1.3974078300,1.3626600000,1.3865065500,1.3592533500,7245304,147143990.7500,2,22.417401,1,2.005000,0
2010-07-29,sz.002450,1.3762866000,1.4049024600,1.3715172900,1.4021771400,1.3865065500,7574227,154533182.6000,2,23.435108,1,1.130200,0
2010-07-30,sz.002450,1.4035398000,1.4035398000,1.3463080800,1.3715172900,1.4021771400,6023110,121308554.5500,2,18.635860,1,-2.186600,0
2010-08-02,sz.002450,1.3708359600,1.4001331500,1.3626600000,1.3830999000,1.3715172900,5182119,105377474.1700,2,16.033784,1,0.844500,0
2010-08-03,sz.002450,1.3783305900,1.3830999000,1.3292748300,1.3292748300,1.3830999000,5305943,105686891.2200,2,16.416903,1,-3.891600,0
2010-08-04,sz.002450,1.3149669000,1.3565280300,1.2979336500,1.3497147300,1.3292748300,4668615,90967286.6800,2,14.444972,1,1.537700,0
2010-08-05,sz.002450,1.3456267500,1.3572093600,1.3224615300,1.3285935000,1.3497147300,2919948,57305637.5700,2,9.034493,1,-1.564900,0
2010-08-06,sz.002450,1.3224615300,1.3830999000,1.3163295600,1.3830999000,1.3285935000,4854657,97038603.8900,2,15.020597,1,4.102600,0
2010-08-09,sz.002450,1.3905945300,1.4519142300,1.3885505400,1.4185290600,1.3830999000,6518879,135988932.5900,2,20.169799,1,2.561600,0
2010-08-10,sz.002450,1.4089904400,1.4730354600,1.4089904400,1.4437382700,1.4185290600,10190684,216374370.4700,2,31.530582,1,1.777100,0
2010-08-11,sz.002450,1.4239797000,1.5500257500,1.4171664000,1.5275418600,1.4437382700,11210469,245785433.9900,2,34.685857,1,5.804600,0
2010-08-12,sz.002450,1.4989260000,1.5479817600,1.4859807300,1.5289045200,1.5275418600,7173847,158876768.7900,2,22.196309,1,0.089200,0
2010-08-13,sz.002450,1.5139152600,1.5438937800,1.4478262500,1.4880247200,1.5289045200,4409769,96481510.5800,2,13.644087,1,-2.673800,0
2010-08-16,sz.002450,1.4709914700,1.5254978700,1.4546395500,1.5132339300,1.4880247200,4226086,93054096.1800,2,13.075761,1,1.694100,0
2010-08-17,sz.002450,1.5023326500,1.5643336800,1.4791674300,1.5445751100,1.5132339300,4733115,105275462.8300,2,14.644539,1,2.071100,0
2010-08-18,sz.002450,1.5438937800,1.5445751100,1.4900687100,1.4900687100,1.5445751100,3610150,79795994.4100,2,11.170019,1,-3.528900,0
2010-08-19,sz.002450,1.4907500400,1.5057393000,1.4689474800,1.4709914700,1.4900687100,3056336,66728634.6700,2,9.456485,1,-1.280300,0
2010-08-20,sz.002450,1.4648595000,1.4900687100,1.4451009300,1.4478262500,1.4709914700,2811364,60562563.6300,2,8.698527,1,-1.574800,0
2010-08-23,sz.002450,1.4478262500,1.4614528500,1.4376063000,1.4498702400,1.4478262500,1839832,39164399.1500,2,5.692550,1,0.141200,0
2010-08-24,sz.002450,1.4430569400,1.4750794500,1.4410129500,1.4634968400,1.4498702400,2445450,52343469.8100,2,7.566368,1,0.939800,0
