date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-01-28,sz.300381,5.3824425200,6.4602179200,5.3824425200,6.4602179200,4.4848325600,546665,21234098.0000,2,4.774367,1,44.045920,0
2014-01-29,sz.300381,7.1068831600,7.1068831600,6.9331522000,7.1068831600,6.4602179200,6455719,284470864.0000,2,56.381825,1,10.010000,0
2014-01-30,sz.300381,6.7240316000,6.7497695200,6.4698696400,6.6259057800,7.1068831600,3448907,141688922.0000,2,30.121459,1,-6.767800,0
2014-02-07,sz.300381,6.4682610200,6.8655901600,6.4682610200,6.7401178000,6.6259057800,2723312,112972532.0000,2,23.784384,1,1.723700,0
2014-02-10,sz.300381,6.7771160600,7.3916089000,6.7610298600,7.1680107200,6.7401178000,4300205,188109141.0000,2,37.556376,1,6.348400,0
2014-02-11,sz.300381,7.0795366200,7.5556881400,6.9009798000,7.3996520000,7.1680107200,3808570,170640670.0000,2,33.262620,1,3.231600,0
2014-02-12,sz.300381,7.3353072000,8.1074448000,7.2725710200,8.0366655200,7.3996520000,3534276,170551134.0000,2,30.867039,1,8.608700,0
2014-02-13,sz.300381,7.9514086600,7.9674948600,7.6055553600,7.6811605000,8.0366655200,2450932,118762327.0000,2,21.405520,1,-4.423500,0
2014-02-14,sz.300381,7.6699001600,8.3583895200,7.6489881000,8.3519550400,7.6811605000,2603713,130689248.0000,2,22.739852,1,8.733000,0
2014-02-17,sz.300381,8.5095998000,9.1868288200,8.3986050200,9.1868288200,8.3519550400,3129364,174034433.0000,2,27.330690,1,9.996100,0
2014-02-18,sz.300381,9.3299960000,9.4715545600,8.9117548000,9.0806599000,9.1868288200,3458598,197839164.0000,2,30.206096,1,-1.155700,0
2014-02-19,sz.300381,9.1626995200,9.2173926000,8.3487378000,8.7187204000,9.0806599000,2693503,146151111.0000,2,23.524044,1,-3.985800,0
2014-02-20,sz.300381,8.6881566200,9.2897805000,8.3905619200,8.7267635000,8.7187204000,2517727,138077148.0000,2,21.988882,1,0.092300,0
2014-02-21,sz.300381,8.6061170000,8.8458013800,8.5031653200,8.6881566200,8.7267635000,1543937,83078654.0000,2,13.484166,1,-0.442400,0
2014-02-24,sz.300381,8.6865480000,8.8940599800,8.6077256200,8.8474100000,8.6881566200,1492974,81221603.0000,2,13.039074,1,1.833000,0
